Country,Air pollution AVG 2020,Life expectancy (year),,
Bangladesh,77.10,72.15,,
Pakistan,59.00,67.02,,
India,51.90,69.27,,
Mogolia,46.60,69.55,,
Afghanistan,46.50,64.28,,
Oman ,44.40,77.53,,
Qatar,44.30,80.02,,
Kyrgyzstan,43.50,71.18,,
Indonesia,40.70,71.41,,
Nepal,39.20,70.31,,
China,34.70,76.62,,
Myanmar,29.40,66.76,,
United Arab Emirates,29.20,77.75,,
Vietnam,28.00,75.27,,
Bulgaria,27.50,74.85,,
Iran,27.20,76.35,,
Sri Lanka,22.40,76.73,,
Thailand,21.40,76.83,,
Croatia,21.20,78.25,,
South Korea,19.50,82.77,,
Ukraine,19.20,71.74,,
Mexico,18.90,74.98,,
Turkey,18.70,77.31,,
Italy,18.50,83.28,,
Greece,18.40,81.98,,
South Africa,18.00,63.62,,
Peru,17.90,76.41,,
Poland,16.90,78.46,,
Israel,16.90,82.74,,
Albania,16.00,78.38,,
Romania,15.80,75.83,,
Malaysia,15.60,75.93,,
Hong kong,15.40,84.63,,
Hungary,14.30,76.63,,
Brazil,14.20,75.56,,
Philipines,12.80,71.04,,
Czech Republic,12.30,79.15,,
Singapore,11.80,83.39,,
France,11.10,82.74,,
Austria,10.90,81.35,,
Spain,10.40,83.36,,
Germany,10.10,81.1,,
Jepan,9.80,84.43,,
Netherland,9.70,82.06,,
USA,9.60,78.81,,
Denmark,9.40,80.68,,
Russia,9.30,72.29,,
Portugal,9.10,81.75,,
Luxembourg,9.00,82.00,,
Switzerland,9.00,83.56,,
Belgium,8.90,81.39,,
Ireland,8.60,82.05,,
United Kingdom,8.30,81.15,,
Australia,7.60,83.2,,
Canada,7.30,82.22,,
Iceland,7.20,82.77,,
New Zealand,7.00,82.06,,
Norway,5.70,82.18,,
Finland,5.00,81.64,,
Sweden,5.00,82.57,,
Puerto Rico,3.70,79.85,,
